date,lower_quartile_value,median_value,upper_quartile_value,sample_mean,sample_std
1/07/2012,,,,,
2/07/2012,306564.53,345000,400000,12.77615109,0.201804842
3/07/2012,306663.8389,345000,400000,12.77621236,0.201725631
4/07/2012,306734.2214,345000,400000,12.77626635,0.201692169
5/07/2012,306795.8136,345000,400000,12.77631813,0.201673836
6/07/2012,306855.1686,345000,400000,12.77637971,0.201670566
7/07/2012,306913.3498,345000,400000,12.7764521,0.201683389
8/07/2012,306970.1573,345000,400000,12.77654138,0.201717811
9/07/2012,307024.2818,345000,400000,12.77664877,0.201776054
10/07/2012,307076.2815,345000.0726,400000,12.77678304,0.201861473
11/07/2012,307125.23,345001.6147,400000,12.77694221,0.201971804
12/07/2012,307184.4728,345005.9586,400000,12.77713905,0.202102249
13/07/2012,307228.077,345015.7035,400000,12.77734923,0.20226044
14/07/2012,307268.466,345025.2542,400000,12.77752347,0.202431444
15/07/2012,307306.2564,345036.0038,400000,12.77765169,0.202605011
16/07/2012,307338.6081,345045.4765,400000,12.7777163,0.202785571
17/07/2012,307363.2683,345050.8568,400000,12.77770127,0.202970004
18/07/2012,307380.1935,345050.3154,400000,12.77761209,0.203154552
19/07/2012,307391.2997,345044.0037,400000,12.7774728,0.203333804
20/07/2012,307400.3723,345033.9905,400000,12.77732735,0.203506105
21/07/2012,307410.7998,345023.1374,400000,12.7772094,0.203668744
22/07/2012,307428.9662,345013.1967,400000,12.77715094,0.203825697
23/07/2012,307458.3965,345005.591,400000,12.77716267,0.203981995
24/07/2012,307509.8162,345000,400000,12.77724854,0.204138937
25/07/2012,307585.9948,345000,400000,12.77740115,0.204294574
26/07/2012,307687.5261,345000,400000,12.77758465,0.204462062
27/07/2012,307819.5934,345000,400000,12.77778867,0.204633583
28/07/2012,307976.1661,345000,400000,12.77799763,0.20480859
29/07/2012,308147.4999,345000,400000,12.77820545,0.204980635
30/07/2012,308327.41,345000,400000,12.77840361,0.205142335
31/07/2012,308482.2671,345000,400000,12.77857037,0.205293279
1/08/2012,308610.94,345000,400000,12.77870885,0.205430592
2/08/2012,308699.2424,345000,400000,12.77881759,0.205555217
3/08/2012,308746.9474,345000,400000,12.77889123,0.205667363
4/08/2012,308758.0057,345000,400000,12.7789327,0.205772829
5/08/2012,308752.8437,345000,400000,12.77897337,0.20587387
6/08/2012,308741.8953,345000,400000,12.77900805,0.205971087
7/08/2012,308749.4539,345000,400000,12.7790481,0.206062195
8/08/2012,308775.5368,345000,399993.2387,12.77903626,0.206069534
9/08/2012,308827.4134,345000,399984.6673,12.77898392,0.206008346
10/08/2012,308898.3624,345000,399974.9532,12.77887274,0.205858464
11/08/2012,308988.7895,345000,399964.044,12.77869618,0.205612426
12/08/2012,309088.5443,345000,399855.1025,12.77842047,0.205227944
13/08/2012,309198.3523,345000,399677.3317,12.77809312,0.204764082
14/08/2012,309314.0487,345000,399418.6584,12.77777518,0.20425131
15/08/2012,309435.5286,345000,399096.0687,12.7774948,0.203732539
16/08/2012,309559.5683,345002.9062,398744.2311,12.77730149,0.203242723
17/08/2012,309681.1518,345005.2693,398402.6351,12.77721086,0.202807975
18/08/2012,309783.3931,345008.3704,398140.718,12.77723223,0.202458909
19/08/2012,309871.7154,345015.1345,397994.2007,12.77738742,0.202234394
20/08/2012,309933.4501,345030.7844,397947.4486,12.7776031,0.202072701
21/08/2012,309971.3251,345056.3005,397975.1343,12.77785851,0.201971733
22/08/2012,309995.2166,345095.1325,398037.2864,12.7781325,0.20190987
23/08/2012,310000,345151.2823,398161.5102,12.77843149,0.201909381
24/08/2012,310000,345225.2131,398255.3812,12.77871341,0.201904524
25/08/2012,310000,345315.0017,398338.6609,12.77897844,0.20190921
26/08/2012,310000,345414.1616,398414.9133,12.77924037,0.201922345
27/08/2012,310000,345516.7432,398502.915,12.77948911,0.201946631
28/08/2012,310000,345624.7397,398636.9438,12.77973578,0.20198418
29/08/2012,310000,345733.065,398764.0631,12.77996767,0.202024534
30/08/2012,310000,345821.38,398829.512,12.78016081,0.20208053
31/08/2012,310000,345903.0646,398831.1702,12.78031454,0.202134988
1/09/2012,310000,345977.2049,398758.2008,12.78042975,0.202190405
2/09/2012,310000,346081.8933,398657.5106,12.78054395,0.202275065
3/09/2012,310000,346212.4172,398512.2294,12.78065469,0.202373457
4/09/2012,310000,346389.7288,398406.4848,12.78080018,0.202500081
5/09/2012,310000,346623.1497,398391.2667,12.78100233,0.20264432
6/09/2012,310000,346907.5735,398485.2417,12.78127227,0.202798847
7/09/2012,310000,347220.7475,398679.4347,12.7815961,0.202951643
8/09/2012,310000,347539.6034,398924.0496,12.78198116,0.203086133
9/09/2012,310000,347848.6106,399195.4596,12.78241449,0.203204124
10/09/2012,310000,348140.3328,399463.2156,12.78288997,0.20329369
11/09/2012,310000,348379.8705,399620.9411,12.78331212,0.203362029
12/09/2012,310000,348585.0125,399678.145,12.78369198,0.203412194
13/09/2012,310000,348737.4503,399627.5422,12.78398185,0.203437062
14/09/2012,310000,348866.6695,399564.2874,12.78419125,0.203455097
15/09/2012,310000,348967.2647,399472.5289,12.78431632,0.203463784
16/09/2012,310000,349044.161,399400.7979,12.78438686,0.2034704
17/09/2012,310000,349111.3014,399390.8442,12.78446245,0.203476272
18/09/2012,310000,349180.1508,399441.0126,12.78458935,0.203487888
19/09/2012,310000,349254.217,399540.0862,12.78478028,0.203513059
20/09/2012,310000,349335.8803,399664.7172,12.78504901,0.203544724
21/09/2012,310000,349429.8469,399783.4765,12.78538145,0.203585559
22/09/2012,310000,349534.4655,399898.6243,12.78579492,0.203640043
23/09/2012,310003.3554,349630.4247,399966.2934,12.7862055,0.203689695
24/09/2012,310036.2851,349716.0484,400000,12.7866086,0.203727939
25/09/2012,310107.6753,349788.4898,400000,12.78700465,0.20375921
26/09/2012,310229.3454,349846.8031,400000,12.78739219,0.203776584
27/09/2012,310408.8717,349892.8897,400000,12.78776811,0.203781927
28/09/2012,310636.4343,349925.4257,400015.0513,12.78812217,0.203785177
29/09/2012,310907.0753,349947.0745,400036.5799,12.78845044,0.203798295
30/09/2012,311196.2054,349960.5032,400073.9688,12.78875147,0.203824368
1/10/2012,311480.2742,349967.7066,400132.1179,12.78902611,0.203871424
2/10/2012,311765.3408,349971.1505,400230.4462,12.78929073,0.203947353
3/10/2012,312054.0168,349974.1265,400364.1937,12.78954482,0.204042076
4/10/2012,312359.9971,349977.5446,400535.8645,12.78981066,0.204153537
5/10/2012,312688.849,349981.3645,400744.0778,12.79009653,0.204274555
6/10/2012,313015.8781,349985.3151,400983.7571,12.79039484,0.204383926
7/10/2012,313345.0279,349989.1275,401242.4901,12.79070688,0.204482366
8/10/2012,313645.3769,349992.4915,401506.9679,12.79102355,0.204566548
9/10/2012,313913.2753,349995.296,401755.0535,12.7913326,0.204630618
10/10/2012,314119.2969,349997.0221,402001.7567,12.79164552,0.204675948
11/10/2012,314279.856,349997.981,402234.612,12.7919557,0.204713614
12/10/2012,314416.4504,349998.371,402448.9667,12.79226104,0.204739351
13/10/2012,314540.3734,349998.2964,402645.1146,12.79258043,0.204749169
14/10/2012,314660.3451,349998.1105,402831.2354,12.79291989,0.204742276
15/10/2012,314772.5486,349998.0027,402999.4603,12.79326942,0.204713846
16/10/2012,314865.4334,349998.1174,403145.7074,12.79362338,0.204662447
17/10/2012,314957.913,349998.43,403271.5065,12.79397942,0.20460194
18/10/2012,315016.602,349998.8417,403379.1717,12.79432143,0.204529993
19/10/2012,315058.1599,349999.2443,403489.0401,12.7946548,0.204460072
20/10/2012,315099.1767,349999.6187,403595.4667,12.79497869,0.20438666
21/10/2012,315165.1539,349999.8808,403708.5051,12.79529201,0.204321706
22/10/2012,315255.4464,350000,403833.2704,12.79561136,0.204257018
23/10/2012,315372.2926,350000,403971.8118,12.79594725,0.20419732
24/10/2012,315505.6852,350000,404109.9555,12.79628222,0.204136829
25/10/2012,315649.6731,350000,404247.4021,12.79661996,0.204075311
26/10/2012,315791.0294,350000,404382.4889,12.79696383,0.204016664
27/10/2012,315922.8104,350000,404502.6953,12.79729792,0.203968537
28/10/2012,316040.2571,350000,404615.1341,12.79762258,0.203933587
29/10/2012,316141.4615,350000,404709.8528,12.79792134,0.203906176
30/10/2012,316230.2909,350000,404782.189,12.79819707,0.203888372
31/10/2012,316303.0639,350000,404859.8208,12.79847195,0.203861668
1/11/2012,316367.0949,350000,404927.4824,12.79873687,0.203812865
2/11/2012,316424.4361,350000,405001.82,12.79900579,0.203744366
3/11/2012,316471.3454,350000,405091.913,12.79928548,0.203653666
4/11/2012,316511.8446,350000,405207.1446,12.7995853,0.203553047
5/11/2012,316549.2992,350000,405349.8022,12.79990871,0.203458992
6/11/2012,316582.3966,350000,405507.3329,12.80023925,0.203382067
7/11/2012,316612.4116,350000,405673.8642,12.80056886,0.203325811
8/11/2012,316639.4044,350000,405824.6219,12.80087801,0.20328688
9/11/2012,316666.0695,350000,406017.2175,12.80121306,0.203275952
10/11/2012,316687.392,350000,406268.2962,12.80153707,0.203268982
11/11/2012,316705.1394,350000,406587.1011,12.80186228,0.203275774
12/11/2012,316725.2526,350000,406941.2445,12.80220353,0.203258761
13/11/2012,316745.5946,350000,407328.836,12.80254342,0.20322193
14/11/2012,316767.2048,350000,407751.067,12.8028759,0.203166393
15/11/2012,316788.9608,350000,408132.9421,12.80317427,0.203083645
16/11/2012,316809.5991,350000,408448.7306,12.80342775,0.202976527
17/11/2012,316828.52,350000,408699.0527,12.80363944,0.202852844
18/11/2012,316847.4428,350000,408909.1654,12.80384341,0.202722959
19/11/2012,316866.0864,350000,409104.5558,12.80405121,0.202594585
20/11/2012,316888.4551,350000,409272.1086,12.80426463,0.202469876
21/11/2012,316911.1181,350000,409432.1596,12.80451652,0.202357723
22/11/2012,316936.375,350000,409561.1614,12.80478981,0.2022526
23/11/2012,316964.4143,350000,409705.4545,12.80507185,0.202160923
24/11/2012,317001.448,350000,409774.8864,12.80534592,0.202066636
25/11/2012,317042.4978,350000,409757.511,12.80558147,0.201963956
26/11/2012,317091.1237,350000,409710.2563,12.80578945,0.201860734
27/11/2012,317149.4332,350000,409655.9532,12.80597051,0.201750718
28/11/2012,317211.5866,350000,409560.3702,12.80611486,0.201640927
29/11/2012,317273.2467,350000,409444.5626,12.80621541,0.201522739
30/11/2012,317323.8051,350000,409301.9618,12.80627957,0.201394732
1/12/2012,317360.8544,350000,409131.0844,12.80630217,0.201254557
2/12/2012,317385.2733,350000,408916.7374,12.80628188,0.201092001
3/12/2012,317399.3184,350000,408691.8936,12.80622927,0.200908617
4/12/2012,317397.7691,350000,408439.6531,12.80615809,0.20070111
5/12/2012,317391.4093,350000,408208.0515,12.80609266,0.200473276
6/12/2012,317388.9523,350000,408045.4638,12.80605917,0.200230966
7/12/2012,317389.08,350000,407957.6514,12.8060596,0.199978001
8/12/2012,317391.6669,350000,407941.4548,12.80610039,0.199725645
